UID,Name,Nat,Club,2nd Nat,Division,Best Pos,Age,Transfer Value,xG/90,xG-OP,FA,Off,xG/shot,Cr C/90,Conv %,NP0xG/90,Gls/90,xA/90,Ch C/90,K Ps/90,Pres A/90,Dist/90,Cr C/A,Drb/90,Sprints/90,Blk/90,Int/90,K Hdrs/90,K Tck/90,Poss Won/90,Poss Lost/90,Tck/90,Tck R,Hdr %,xSv %,Pens Saved Ratio,Pas %,Sv %,Cln/90,Pr passes/90,Gl Mst,xGP/90,All/90,Inf,Rec
2000123586,Kobbie Mainoo,ENG,Man UFC,GHA,English Premier Division,DM,22,$131M - $192M,0.10,-0.41,9.00,0.00,0.11,0.00,0.08,0.10,0.07,0.16,0.36,1.14,10.38,8.3mi,0.00,0.85,12.16,0.43,2.13,0.07,0.07,12.37,7.54,2.91,0.80,0.21,0.00,0.00,0.88,0.00,0.00,3.63,0.00,0.00,0.00,,0 0 0
91193048,Florian Wirtz,GER,Bayer 04,,Bundesliga,AM (C),23,$96M - $141M,0.25,1.80,41.00,5.00,0.10,0.12,0.12,0.25,0.31,0.30,0.65,1.85,9.83,8.1mi,0.09,2.00,12.05,0.28,1.69,0.03,0.09,16.76,3.48,1.97,0.80,0.22,0.00,0.00,0.88,0.00,0.00,3.64,0.00,0.00,0.00,Wnt,0 0 0
2000180853,Pascal Klemens,GER,Wolves,,English Premier Division,DM,22,$87M - $103M,0.02,-0.62,10.00,0.00,0.10,0.00,0.00,0.02,0.00,0.02,0.00,0.21,6.63,7.7mi,0.00,0.29,5.58,0.51,1.66,0.59,0.32,9.78,5.64,2.32,0.80,0.72,0.00,0.00,0.92,0.00,0.00,4.22,2.00,0.00,0.00,,0 0 0
28126246,Samuel Edozie,ENG,Southampton,NGA,English Premier Division,AM (L),24,$86M - $128M,0.24,-2.44,54.00,7.00,0.13,0.41,0.08,0.24,0.15,0.16,0.44,1.04,15.71,8.4mi,0.09,4.62,19.49,0.33,2.37,0.07,0.04,7.54,15.49,3.70,0.81,0.48,0.00,0.00,0.83,0.00,0.00,3.33,0.00,0.00,0.00,,0 0 0
2000094715,Guillaume Restes,FRA,Toulouse FC,CIV,Ligue 1 Uber Eats,GK,22,$84M - $102M,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.9mi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.77,6.83,0.07,0.29,0.00,0.89,0.29,0.88,0.73,0.20,0.20,1.00,0.06,1.37,Unh,0 0 0
49048445,Arnaud Kalimuendo,FRA,Rennes,COD,Ligue 1 Uber Eats,ST (C),25,$84M - $100M,0.54,5.04,64.00,20.00,0.13,0.07,0.18,0.54,0.72,0.09,0.11,0.82,8.30,7.5mi,0.18,1.57,6.91,0.14,1.15,0.00,0.04,2.43,18.39,1.61,0.85,0.32,0.00,0.00,0.83,0.00,0.00,0.93,0.00,0.00,0.00,,0 0 0
37073313,Devyne Rensch,NED,Ajax,SUR,Eredivisie,D (R),24,$83M - $99M,0.03,-1.13,48.00,0.00,0.07,0.22,0.00,0.03,0.00,0.11,0.16,0.76,8.96,8.0mi,0.16,2.14,15.00,0.73,2.71,0.30,0.16,13.24,12.72,2.38,0.82,0.59,0.00,0.00,0.90,0.00,0.00,7.44,0.00,0.00,0.00,,0 0 0
2000053516,Adam Wharton,ENG,Crystal Palace,,Sky Bet Championship,DM,23,$82M - $121M,0.10,-1.57,40.00,6.00,0.12,0.16,0.07,0.10,0.05,0.13,0.11,1.63,10.05,8.2mi,0.21,1.11,12.09,0.41,1.90,0.24,0.08,15.52,5.19,2.17,0.71,0.37,0.00,0.00,0.90,0.00,0.00,5.30,0.00,0.00,0.00,Ask,0 0 0
2000011972,Sávio,BRA,Troyes,,Ligue 1 Uber Eats,AM (L),23,$82M - $120M,0.27,-0.74,69.00,17.00,0.14,1.01,0.13,0.27,0.25,0.11,0.31,1.71,12.61,8.0mi,0.25,4.20,14.85,0.25,2.10,0.03,0.00,4.96,14.26,2.35,0.82,0.17,0.00,0.00,0.84,0.00,0.00,2.27,0.00,0.00,0.00,,0 0 0
2000120742,Evan Ferguson,IRL,Brighton,ENG,English Premier Division,ST (C),22,$81M - $119M,0.71,2.68,35.00,30.00,0.21,0.13,0.24,0.71,0.83,0.08,0.17,0.70,7.13,8.0mi,0.37,1.48,5.74,0.04,1.00,0.00,0.00,3.52,9.65,0.87,0.69,0.36,0.00,0.00,0.86,0.00,0.00,0.70,0.00,0.00,0.00,,0 0 0
37061602,Orkun Kökçü,TUR,Benfica,NED,Portuguese Premier League,M (C),26,$81M,0.26,1.97,32.00,7.00,0.10,0.57,0.12,0.26,0.31,0.23,0.37,2.79,10.03,8.0mi,0.30,1.17,12.36,0.28,1.54,0.00,0.03,12.82,12.05,1.85,0.76,0.23,0.00,0.00,0.85,0.00,0.00,2.48,0.00,0.00,0.00,Wnt,0 0 0
14185869,Facundo Medina,ARG,RC Lens,FRA,Ligue 1 Uber Eats,D (C),27,$79M - $95M,0.01,-0.18,6.00,1.00,0.04,0.19,0.00,0.01,0.00,0.09,0.19,0.39,3.35,7.2mi,0.50,0.26,5.79,0.48,1.93,0.77,0.39,20.63,2.09,1.35,0.64,0.68,0.00,0.00,0.94,0.00,0.00,4.80,0.00,0.00,0.00,,0 0 0
43390774,Samuele Ricci,ITA,Al-Ittihad,,Saudi Professional League,DM,25,$78M - $114M,0.20,3.83,42.00,4.00,0.12,0.25,0.18,0.20,0.30,0.15,0.22,1.23,10.00,7.5mi,0.28,1.04,11.59,0.22,1.42,0.33,0.05,12.88,8.38,1.86,0.76,0.37,0.00,0.00,0.88,0.00,0.00,2.90,0.00,0.00,0.00,Inj,0 0 0
49047581,Rayan Aït-Nouri,ALG,Wolves,FRA,English Premier Division,D (L),25,$78M - $93M,0.04,-1.11,17.00,3.00,0.07,0.51,0.00,0.04,0.00,0.08,0.10,0.70,11.48,8.4mi,0.11,2.45,17.08,0.67,2.48,0.22,0.16,13.20,11.23,3.98,0.78,0.59,0.00,0.00,0.88,0.00,0.00,6.68,0.00,0.00,0.00,,0 0 0
29173977,Max Aarons,ENG,Bournemouth,JAM,English Premier Division,D (R),27,$77M - $91M,0.04,-0.94,19.00,3.00,0.12,0.32,0.00,0.04,0.00,0.11,0.32,0.83,10.12,8.7mi,0.11,2.21,19.97,0.74,3.63,0.09,0.41,13.94,9.48,4.37,0.82,0.38,0.00,0.00,0.87,0.00,0.00,4.10,0.00,0.00,0.00,Wnt,0 0 0
67260207,Unai Vencedor,ESP,A. Bilbao,BAS,Spanish First Division,DM,26,$76M - $94M,0.06,-1.03,20.00,1.00,0.10,0.41,0.05,0.06,0.03,0.12,0.24,1.47,10.06,7.8mi,0.15,0.68,11.80,0.15,1.18,0.15,0.06,13.71,5.59,2.50,0.77,0.37,0.00,0.00,0.90,0.00,0.00,4.88,0.00,0.00,0.00,Inj,0 0 0
2000124287,Jack Hinshelwood,ENG,West Ham,,English Premier Division,M (C),22,$75M - $92M,0.06,0.89,20.00,4.00,0.10,0.12,0.14,0.06,0.09,0.11,0.33,0.99,9.93,8.4mi,0.10,0.87,14.18,0.51,1.81,0.21,0.09,10.11,10.63,2.14,0.70,0.43,0.00,0.00,0.89,0.00,0.00,5.60,1.00,0.00,0.00,,0 0 0
19351985,Natan,BRA,Parthenope,,Italian Serie A,D (C),26,$75M - $89M,0.04,-1.68,14.00,0.00,0.13,0.05,0.00,0.04,0.00,0.06,0.12,0.35,3.15,7.3mi,0.18,0.18,5.73,0.44,1.91,0.76,0.35,16.41,3.22,1.34,0.84,0.68,0.00,0.00,0.94,0.00,0.00,5.29,1.00,0.00,0.00,nEU,0 0 0
29179717,Pedro Neto,POR,Wolves,,English Premier Division,AM (L),27,$74M - $89M,0.14,2.37,49.00,14.00,0.12,1.11,0.19,0.14,0.23,0.17,0.61,1.76,12.56,8.5mi,0.12,3.97,15.92,0.50,1.79,0.04,0.00,7.14,15.99,2.94,0.78,0.14,0.00,0.00,0.85,0.00,0.00,3.09,0.00,0.00,0.00,Inj,0 0 0
2000115205,Jeanuël Belocian,FRA,Rennes,GLP,Ligue 1 Uber Eats,D (C),22,$74M - $88M,0.03,-1.31,21.00,3.00,0.09,0.07,0.00,0.03,0.00,0.04,0.07,0.34,4.38,7.3mi,0.11,0.39,6.66,0.55,2.19,0.57,0.41,14.41,4.29,1.37,0.80,0.71,0.00,0.00,0.93,0.00,0.00,4.58,1.00,0.00,0.00,,0 0 0
2000166563,Carlos Baleba,CMR,Brighton,,English Premier Division,M (C),23,$72M - $89M,0.13,-1.05,29.00,7.00,0.10,0.13,0.08,0.13,0.11,0.21,0.48,1.28,10.94,8.3mi,0.11,1.55,13.28,0.29,1.71,0.40,0.00,8.40,10.83,2.03,0.72,0.56,0.00,0.00,0.88,0.00,0.00,3.87,0.00,0.00,0.00,,0 0 0
2000035291,Cameron Humphreys,ENG,Ajax,,Eredivisie,M (C),23,$72M - $88M,0.17,-0.51,24.00,1.00,0.11,0.26,0.10,0.17,0.15,0.23,0.29,1.32,9.22,8.1mi,0.00,0.96,11.42,0.29,1.69,0.00,0.22,13.15,4.11,2.42,0.73,0.27,0.00,0.00,0.92,0.00,0.00,5.40,0.00,0.00,0.00,Sct,0 0 0
49048381,Kiliann Sildillia,FRA,SC Freiburg,GLP,Bundesliga,D (R),24,$72M - $85M,0.03,0.18,25.00,2.00,0.10,0.18,0.13,0.03,0.04,0.09,0.15,0.77,7.65,7.9mi,0.14,1.06,13.17,0.62,2.16,0.55,0.07,14.82,8.74,2.49,0.81,0.77,0.00,0.00,0.89,0.00,0.00,7.83,0.00,0.00,0.00,Wnt,0 0 0
24060471,Nikola ?avlina,CRO,Rennes,,Ligue 1 Uber Eats,GK,24,$71M - $86M,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.9mi,0.00,0.00,0.00,0.00,0.03,0.00,0.00,4.05,7.30,0.00,0.00,0.00,0.87,0.00,0.84,0.76,0.30,0.25,2.00,0.29,0.95,,0 0 0
2000028607,Leon Avdullahu,SUI,Wolves,KOS,English Premier Division,DM,23,$70M - $86M,0.11,2.51,20.00,1.00,0.11,0.21,0.19,0.11,0.18,0.08,0.24,0.73,10.96,8.1mi,0.20,0.95,11.48,0.31,1.71,0.34,0.09,7.97,9.44,2.08,0.65,0.59,0.00,0.00,0.88,0.00,0.00,3.24,2.00,0.00,0.00,,0 0 0
91195878,Luca Netz,GER,Borussia M'gladbach,,Bundesliga,D (L),23,$68M - $99M,0.06,-1.87,49.00,1.00,0.10,1.46,0.00,0.06,0.00,0.06,0.24,1.25,9.29,8.0mi,0.23,1.98,14.71,0.76,2.15,0.49,0.24,12.00,11.93,3.09,0.79,0.68,0.00,0.00,0.90,0.00,0.00,7.46,0.00,0.00,0.00,,0 0 0
67281485,Rodri,ESP,Real Hispalis,,Spanish First Division,M (R),27,$68M - $81M,0.16,-0.45,45.00,1.00,0.15,0.57,0.14,0.16,0.14,0.29,0.43,1.71,11.91,8.0mi,0.28,3.02,14.44,0.31,1.91,0.00,0.00,7.61,9.29,2.42,0.77,0.27,0.00,0.00,0.86,0.00,0.00,4.62,0.00,0.00,0.00,Wnt,0 0 0
67274349,Hugo Duro,ESP,Valencia,,Spanish First Division,ST (C),27,$68M - $81M,0.32,2.37,73.00,26.00,0.12,0.10,0.15,0.32,0.40,0.07,0.27,1.00,6.83,7.5mi,0.16,1.40,7.83,0.13,0.87,0.03,0.00,2.87,15.93,1.30,0.71,0.39,0.00,0.00,0.81,0.00,0.00,1.20,0.00,0.00,0.00,,0 0 0
28112986,Callum Hudson-Odoi,ENG,West Ham,GHA,English Premier Division,AM (L),26,$66M - $96M,0.18,-1.77,61.00,17.00,0.10,0.44,0.07,0.18,0.13,0.19,0.41,1.47,14.16,8.0mi,0.11,2.91,14.72,0.31,1.50,0.03,0.03,6.01,13.47,2.60,0.82,0.35,0.00,0.00,0.82,0.00,0.00,2.76,0.00,0.00,0.00,,0 0 0
91207281,Maximilian Beier,GER,TSG Hoffenheim,,Bundesliga,ST (C),24,$65M - $77M,0.37,-1.93,86.00,31.00,0.12,0.06,0.10,0.35,0.31,0.12,0.13,0.69,6.81,7.6mi,0.08,1.32,6.31,0.16,1.10,0.03,0.00,2.95,13.93,1.60,0.77,0.38,0.00,0.00,0.84,0.00,0.00,0.91,0.00,0.00,0.00,,0 0 0
95079228,Alex Scott,ENG,Bournemouth,NIR,English Premier Division,M (C),23,$64M - $94M,0.17,0.24,57.00,6.00,0.19,0.06,0.20,0.17,0.18,0.13,0.30,0.87,12.37,8.9mi,0.05,2.13,15.95,0.12,1.80,0.00,0.12,6.16,9.97,1.92,0.75,0.17,0.00,0.00,0.85,0.00,0.00,3.18,0.00,0.00,0.00,,0 0 0
67245413,Óscar Mingueza,ESP,Vigo,,Spanish First Division,D (R),27,$64M - $76M,0.02,-0.83,34.00,1.00,0.10,0.15,0.00,0.02,0.00,0.13,0.28,0.89,7.36,7.5mi,0.13,0.91,12.21,0.61,2.39,0.51,0.18,16.12,7.41,1.95,0.76,0.66,0.00,0.00,0.90,0.00,0.00,7.44,0.00,0.00,0.00,Wnt,0 0 0
79034187,Julio Enciso,PAR,Brighton,,English Premier Division,AM (L),23,$63M - $78M,0.24,-2.20,36.00,14.00,0.12,0.52,0.06,0.24,0.12,0.18,0.46,1.45,15.04,8.7mi,0.13,4.24,18.64,0.52,1.92,0.00,0.00,5.81,17.30,2.73,0.89,0.14,0.00,0.00,0.81,0.00,0.00,3.02,0.00,0.00,0.00,,0 0 0
83137935,Francisco Trincão,POR,AS Roma,,Italian Serie A,AM (R),27,$62M - $76M,0.30,3.85,62.00,18.00,0.13,0.66,0.18,0.28,0.42,0.22,0.45,2.19,12.41,7.6mi,0.17,2.31,13.67,0.12,1.50,0.03,0.06,5.63,15.46,2.16,0.82,0.41,0.00,0.00,0.85,0.00,0.00,3.57,0.00,0.00,0.00,,0 0 0
